trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,22,1,3,2300,24.3,3,265,249,0
7,19,5,14,47,0.1,3,170,170,0
7,26,5,0,1194,5,3,79,225,0
7,11,4,13,676,1.6,2,231,249,0
7,11,4,21,461,1.7,3,100,246,0
7,15,1,16,57,0.1,3,138,138,0
7,30,2,5,192,0.2,2,138,138,0
7,21,7,2,172,0.1,3,79,79,0
7,18,4,18,45,0.4,4,219,10,0
7,29,1,11,1698,5.8,1,143,265,0
7,27,6,19,11321,1.8,3,219,223,0
7,23,2,11,2816,16.5,3,132,68,0
7,25,4,16,0,0,2,138,264,0
7,12,5,22,1919,6.3,1,230,265,0
7,15,1,10,69,0.8,3,252,252,0
7,3,3,19,1291,13.3,2,48,265,0
7,8,1,16,1723,17.2,3,68,1,0
7,24,3,15,3168,28,3,168,1,0
7,8,1,22,4066,34.8,2,10,265,0
7,10,3,9,0,0,2,74,264,0
7,14,7,19,1364,11,1,264,265,0
7,24,3,22,912,3.6,3,231,265,0
7,15,1,10,1886,13,3,249,265,0
7,2,2,16,35,0,1,211,211,0
7,2,2,10,37,0.09,2,138,138,0
7,24,3,12,364,0,2,264,264,0
7,30,2,19,9,0,4,4,4,0
7,30,2,9,19,0,2,132,132,0
7,11,4,15,340,0,2,264,264,0
7,19,5,13,258,0,2,264,264,0
7,23,2,14,254,0,2,264,264,0
12,31,4,23,39673,0,2,264,264,0
7,5,5,11,184,0,2,264,264,0
7,6,6,15,238,0,2,264,264,0
7,25,4,23,79,0.7,3,219,10,0
7,14,7,13,81,2.2,2,88,88,0
7,31,3,13,639,0,2,264,264,0
7,3,3,15,67,16.7,3,261,13,0
7,20,6,2,74,0,2,265,265,0
7,25,4,11,9,0,3,193,193,0
7,9,2,11,75,0,2,264,264,0
7,24,3,13,72,0,2,264,264,0
7,25,4,11,67,0,2,264,264,0
7,2,2,16,66,0,2,264,264,0
7,27,6,14,70,0,2,264,264,0
7,31,3,16,93,0,2,264,264,0
7,27,6,14,62,0,2,264,264,0
7,26,5,12,97,0,2,264,264,0
7,26,5,11,80,0,2,264,264,0
7,31,3,11,84,0,2,264,264,0
7,26,5,9,80,0,2,264,264,0
7,21,7,11,76,0,2,264,264,0
7,11,4,9,551,0,2,264,264,0
7,31,3,12,56,0,2,264,264,0
